BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1'	'Photosynthesis'	''	''	
'1.1'	'Photosynthesis.photophosphorylation'	''	''	
'1.1.1'	'Photosynthesis.photophosphorylation.photosystem II'	''	''	
'1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex'	''	''	
'1.1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb1/2/3)'	'at2g34430'	'mercator4v5.0: component *(LHCb1/2/3) of LHC-II complex & original description: Photosystem II type I chlorophyll a/b-binding protein The mRNA is cell-to-cell mobile.'	T
'1.1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb4)'	''	''	
'1.1.1.1.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb5)'	''	''	
'1.1.1.1.4'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb6)'	''	''	
'1.1.1.1.5'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCq)'	''	''	
'1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex'	''	''	
'1.1.1.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex'	''	''	
'1.1.1.2.1.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.component *(D1/PsbA)'	''	''	
'1.1.1.2.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.component *(D2/PsbD)'	''	''	
'1.1.1.2.1.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.component *(CP47/PsbB)'	''	''	
'1.1.1.2.1.4'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.component *(CP43/PsbC)'	''	''	
'1.1.1.2.1.5'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer'	''	''	
'1.1.1.2.1.5.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.component alpha *(PsbE)'	''	''	
'1.1.1.2.1.5.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.component beta *(PsbF)'	''	''	
'1.1.1.2.1.6'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.component *(PsbI)'	''	''	
'1.1.1.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic components'	''	''	
