"UNTWIST code" Reseq "versus CAM" Name1 Name2 Name3 Origin "Geographical origin" Provider
UNT1 NA NA UNT1 NA NA "CCE breeding program" Spain CCE
UNT2 NA NA UNT2 NA NA "CCE breeding program" Spain CCE
UNT3 NA NA UNT3 NA NA "CCE breeding program" Spain CCE
UNT4 NA NA UNT4 NA NA "CCE breeding program" Spain CCE
UNT5 NA NA UNT5 NA NA "CCE breeding program" Spain CCE
UNT6 NA NA UNT6 NA NA "CCE breeding program" Spain CCE
UNT7 NA NA UNT7 NA NA "CCE breeding program" Spain CCE
UNT8 NA NA UNT8 NA NA "CCE breeding program" Spain CCE
UNT9 NA NA UNT9 NA NA "CCE breeding program" Spain CCE
UNT10 NA NA UNT10 NA NA "CCE breeding program" Spain CCE
UNT11 NA NA UNT11 NA NA "CCE breeding program" Spain CCE
UNT12 NA NA UNT12 NA NA "CCE breeding program" Spain CCE
UNT13 NA NA UNT13 NA NA "CCE breeding program" Spain CCE
UNT14 NA NA UNT14 NA NA "CCE breeding program" Spain CCE
UNT15 NA NA UNT15 NA NA "CCE breeding program" Spain CCE
UNT16 NA NA UNT16 NA NA "CCE breeding program" Spain CCE
UNT17 NA NA UNT17 NA NA "CCE breeding program" Spain CCE
UNT18 NA NA "cv Céline" NA NA Commercial France INRA
UNT19 CONFIRMED NA [CN101981] NA NA "Public accession" Poland INRA
UNT20 WRONG NA [CN101985] NA NA "Public accession" unknown INRA
UNT21 CONFIRMED NA CN101980 "Przybrodzka " "PI 311736" "Public accession" Poland INRA
UNT22 NA NA CN101982 NA NA "Public accession" Yougoslavia INRA
UNT23 NA NA CN101986 "Giessen N°3" "PI 650148" "Public accession" Germany INRA
UNT24 NA NA CN111335 Chulymskij  "Public accession" Russia INRA
UNT25 CONFIRMED NA CN111672 "PI258366 " NA "Public accession" Russia INRA
UNT26 NA NA CN111330 VIR-4027 NA "Public accession" Russia INRA
UNT27 CONFIRMED NA CN30475 "Voronezskij 349" "Cs110 CAM 174" "Public accession" Russia INRA
UNT28 NA NA CN30476 "Voronezskij 339 "  "Public accession" Russia INRA
UNT29 OK "BEST CAM25 and CAMPUB25 ok" CN30478 "Omskij Mestnyj " "Cs006, CAM 25" "Public accession" Russia INRA
UNT30 NA NA CN30479 "Irkuskiij Mestnyj"  "Public accession" Russia INRA
UNT31 NA "CS215 not CS218; CAMPUB68 CAM68" CN101987 "Giessen N°4" "PI 650149, Cs218" "Public accession" Germany INRA
UNT32 NA "not CAM67 " "CN101988 " Hoga "PI 650150 , Cs035, CAM 67" "Public accession" Danemark "INRA, AAFC/Canada"
UNT33 NA NA CN101989 NA NA "Public accession" Unknown INRA
UNT34 ok CAM134 Calena Cs076 "CAM 134" Commercial Germany BOKU/AUT
UNT35 NA NA Gomholka NA NA "Public accession" Unknown BOKU/AUT
UNT37 NA NA Ya-ma-ji NA NA "Public accession" Unknown BOKU/AUT
UNT38 CONFIRMED NA Kirgizskij Cs028 "CAM 57" "Public accession" SUN BOKU/AUT
UNT39 NA NA "Irkutskij local" NA NA "Public accession" Unknown BOKU/AUT
UNT40 NA NA Korneuburg NA NA "Public accession" Unknown BOKU/AUT
UNT42 NA NA CA13X_15_21 NA NA "Public accession" Unknown UNIBO
UNT43 NA NA CJ6X_78 NA NA "Public accession" Unknown UNIBO
UNT44 NA NA CK1X_129 NA NA "Public accession" Unknown UNIBO
UNT45 NA "CS002 and CS200" BGRC51558 NA NA "Public accession" Unknown UNIBO
UNT46 NA NA CUOO5 NA NA "Public accession" Unknown UNIBO
UNT47 NA NA CJ13X-115 NA NA "Public accession" Unknown UNIBO
UNT50 ok CAMPUB147 Cs083 "CAM 147" "STAMM 09X13" "Public accession" Germany ALARC/USA
UNT52 "probably ok" "CAMPUB156; CAM156 but only 0.85;0.86" Cs092 "CAM 156" "STAMM 09X15" "Public accession" Germany ALARC/USA
UNT53 ok CAMPUB159 Cs095 "CAM 159" "STAMM 13X15" "Public accession" Germany ALARC/USA
UNT54 ok "CAMPUB165; CAM165" Cs101 "CAM 165" "STAMM 04X05" "Public accession" Germany ALARC/USA
UNT55 maybe "CAMPUB159; CAMPUB167 runner up" Cs103 "CAM 167" "STAMM 06X14C" "Public accession" Germany ALARC/USA
UNT56 ok "CAMPUB232 CAM232" Cs151 "CAM 232" "PRFGL. 85" "Public accession" Germany ALARC/USA
UNT57 ok "CAMPUB278; CAM278" Cs193 "CAM 278" "STAMM 02X11B" "Public accession" Germany ALARC/USA
UNT58 NA CAMPUB187;180 Cs205 "PI 597833" 163-2073-72 "Public accession" Danemark ALARC/USA
UNT59 maybe "CAM50;cam38 good values CAMPUB38 50" Cs233 "PI 650164" CSS-CAM38 "Public accession" Austria ALARC/USA
